sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,1,usability,0,bathroom,sun_apynckhmoftszqoq.tif,157,1.5,0,1.01666666666667,1499676.9671645,1499678.8404492,50,NaN,1499678.470843,1499678.8465017,1499679.8615076,NaN,NaN
120,2,1,usability,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,1.61666666666667,1499679.8676349,1499681.872044,51,NaN,1499681.3715329,1499681.8787671,1499683.4937717,NaN,NaN
120,3,1,usability,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,1.16666666666667,1499683.4998763,1499685.5567117,51,NaN,1499685.0032809,1499685.562994,1499686.7280005,NaN,NaN
120,4,1,usability,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,0.983333333333333,1499686.7343089,1499688.7804939,52,NaN,1499688.2373704,1499688.7859777,1499689.7676501,NaN,NaN
120,5,1,usability,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,0.783333333333333,1499689.7738975,1499692.1883814,54,NaN,1499691.2768901,1499692.1941293,1499692.9758151,NaN,NaN
120,6,1,usability,0,bathroom,sun_ambriybtogmepttm.tif,146,1.5,0,0.816666666666667,1499692.9822837,1499695.0327988,54,NaN,1499694.4856368,1499695.0383426,1499695.8533482,NaN,NaN
120,7,1,usability,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,1.1,1499695.859162,1499698.187054,54,NaN,1499697.3623221,1499698.1924066,1499699.290745,NaN,NaN
120,8,1,usability,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,1.65,1499699.2975116,1499701.1699079,52,NaN,1499700.8009519,1499701.1758269,1499702.8241687,NaN,NaN
120,9,1,usability,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,1.13333333333333,1499702.8299951,1499705.7188265,54,NaN,1499704.3334057,1499705.7244035,1499706.8560769,NaN,NaN
120,10,1,usability,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.766666666666667,1499706.8623449,1499708.8674616,51,NaN,1499708.3652951,1499708.8739476,1499709.6389556,NaN,NaN
120,11,1,usability,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,1.25,1499709.6456764,1499711.7186981,53,NaN,1499711.1488507,1499711.7250004,1499712.9733408,NaN,NaN
120,12,1,usability,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.5,1499712.9792369,1499714.7277031,52,NaN,1499714.4821064,1499714.7342993,1499716.2326409,NaN,NaN
120,13,1,usability,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,1.56666666666667,1499716.2394008,1499717.9743844,54,NaN,1499717.7434468,1499717.9799597,1499719.5449673,NaN,NaN
120,14,1,usability,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.45,1499719.5507354,1499721.3259285,54,NaN,1499721.0540109,1499721.3321579,1499722.7804955,NaN,NaN
120,15,1,usability,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.53333333333333,1499722.7870998,1499724.6022674,51,NaN,1499724.2903079,1499724.6092963,1499726.1409712,NaN,NaN
120,16,1,usability,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,0.8,1499726.1476473,1499728.3487666,51,NaN,1499727.6518033,1499728.3543692,1499729.1527089,NaN,NaN
120,17,1,usability,0,bathroom,sun_ahaulkltgpkeeemi.tif,136,1.5,0,0.933333333333333,1499729.1587974,1499731.1909057,53,NaN,1499730.6638627,1499731.197742,1499732.1294146,NaN,NaN
120,18,1,usability,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.75,1499732.1354529,1499733.9683514,52,NaN,1499733.6385518,1499733.9737706,1499735.7221119,NaN,NaN
120,19,1,usability,0,bathroom,sun_ahijqszoswveeyji.tif,138,1.5,0,1.48333333333333,1499735.7282518,1499737.6620635,53,NaN,1499737.2314184,1499737.6683104,1499739.1499845,NaN,NaN
120,20,1,usability,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.03333333333333,1499739.1562501,1499740.937214,52,NaN,1499740.6591382,1499740.942616,1499741.9742917,NaN,NaN
120,21,1,usability,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,1.23333333333333,1499741.9803804,1499743.7994245,50,NaN,1499743.4839203,1499743.806049,1499745.0377219,NaN,NaN
120,22,1,usability,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.28333333333333,1499745.0439,1499746.8461737,51,NaN,1499746.5463379,1499746.85179,1499748.1334651,NaN,NaN
120,23,1,usability,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.66666666666667,1499748.1398404,1499749.9420503,54,NaN,1499749.6433719,1499749.9475182,1499751.6125265,NaN,NaN
120,24,1,usability,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,1.26666666666667,1499751.6187764,1499753.4040694,53,NaN,1499753.1227989,1499753.4095869,1499754.674594,NaN,NaN
120,25,1,usability,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,1.4,1499754.6810167,1499756.1848673,53,NaN,1499756.1846438,1499756.2105795,1499757.6089202,NaN,NaN
